date,debate_name,debate_section,speaker,speech,speaking_time_seconds
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Good evening and welcome, the Democratic presidential primary here in South Carolina. The first primary in the South is just four days away.",8.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,And Super Tuesday is just a week away and this is the biggest primary day of the year as voters in 14 states cast ballots and many of them tell us they have not actually made up their mind. So this debate when you think about it tonight may be the last best chance for the candidates to make their case to South Carolina and Super Tuesday voters.,22.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"And CBS News is proud to bring you this debate along with our co-sponsors. They are the Democratic National Committee and the Congressional Black Caucus Institute, a nonpartisan organization committed to educating voters and training political leaders.",14.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,"And we are partnering tonight also with Twitter. So you at home can participate in this debate. How do you do that? Send us your questions for the candidates using the Twitter hashtag, DemDebate.",10.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Now, here are the rules for the next two hours. When you were asked a question, you will have one minute and 15 seconds to answer and 45 seconds for followups. So let’s begin. Senator Sanders, we haven’t had a national unemployment rate this low for this long in 50 years. Here in South Carolina, the unemployment rate is even lower. How will you convince voters that a democratic socialist can do better than President Trump with the economy?",31.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,"Well, you’re right, the economy is doing really great for people like Mr. Bloomberg and other billionaires. In the last three years, last three years, billionaires in this country saw an $850 billion increase in their wealth. But you know what, for the ordinary American things are not so good. Last year, real wage increases for the average worker were less than one percent. Half of our people are living paycheck to paycheck. 87 million Americans have no health insurance or are under-insured. 45 million people are struggling with student debt. 500,000 people tonight are sleeping out on the street, including 30,000 veterans. That is not an economy that’s working for the American people. That’s an economy working for the one percent. We’re going to create an economy for all, not just wealthy campaign contributors.",59.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,Senator-,5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,"Mayor Bloomberg, I’ll let you respond to that. Do you think Senator Sanders’ economy would be better for America than President Trump?",5.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,I think that Donald Trump thinks it would be better if he’s president. I do not think so. Vladimir Putin thinks that Donald Trump should be President of the United States. And that’s why Russia is helping you get elected so you lose to him.,19.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,"Oh, Mr. Bloomberg. Let me tell Mr. Putin. Okay, I’m not a good friend of President Xi of China. I think President Xi is an authoritarian leader. And let me tell Mr. Putin who interfered in the 2016 election, try to bring Americans against Americans. Hey, Mr. Putin, if I’m President of the United States, trust me you’re not going to interfere in anymore American elections.",27.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah O’Donnell,Senator Warren.,1.0
02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Pete Buttigieg,"We know what the President … what Russia wants, it’s chaos.",3.0
