date,location,debate,speakers,dialogue,word_count,candidate,withdrawn,avg_word_length
6/26/2019,Miami,First Debate,Holt,"Good evening, everyone. I'm Lester Holt, and welcome to the first Democratic debate to the 2020 race for president.",19,0,0,4.6
6/26/2019,Miami,First Debate,Guthrie,"Hi, I'm Savannah Guthrie. And tonight, it's our first chance to see these candidates go head to head on stage together. We'll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow.",38,0,0,4.24
6/26/2019,Miami,First Debate,Holt,"Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes.",27,0,0,4.63
6/26/2019,Miami,First Debate,Guthrie,"Well, now it's time to find out.",7,0,0,2.88
6/26/2019,Miami,First Debate,Holt,"And good evening again, everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we're going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children.",55,0,0,4.7
6/26/2019,Miami,First Debate,Guthrie,"And we're going to talk about the tensions with Iran, climate change, and of course, we'll talk about the economy, those kitchen table issues so many Americans face every day.",30,0,0,4.34
6/26/2019,Miami,First Debate,Diaz-Balart,"And some quick rules of the road. Before we begin, 20 candidates qualified for this first debate. We'll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.",48,0,0,4.38
6/26/2019,Miami,First Debate,Holt,"Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.",60,0,0,4.0
6/26/2019,Miami,First Debate,Guthrie,"All right. So with that business out of the way, we want to get to it. And we'll start this evening with Senator Elizabeth Warren. Senator, good evening to you.",30,0,0,4.0
6/26/2019,Miami,First Debate,Warren,Thank you. Good to be here.,6,1,0,3.33
6/26/2019,Miami,First Debate,Guthrie,"You have many plans -- free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",67,0,0,4.7
6/26/2019,Miami,First Debate,Warren,"So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled. It's doing great for people who want to invest in private prisons, just not for the African-Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined. It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us. When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.",169,1,0,4.1
6/26/2019,Miami,First Debate,Guthrie,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, ""a magic genie."" To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?",46,0,0,4.73
6/26/2019,Miami,First Debate,Klobuchar,"Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what's going on, when you have so many people that are having trouble affording college and having trouble affording their premiums. So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education. My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications. Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000. And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this:  If billionaires can pay off their yachts, students should be able to pay off their student loans.",195,1,0,4.18
